gender	python_rank
Male	
Male	
Male	
Male	
Male	1
Female	2
Male	
Male	
Male	2
Male	1
Male	
Male	
Male	1
Male	
Male	3
Male	
Female	
Male	1
Male	2
Female	
Male	3
Male	
Male	1
Male	
Male	1
Male	1
Male	
Male	3
Male	
Female	
Male	
Male	
Female	
Male	
Male	
Male	
Male	
Male	1
Male	
Female	
Male	
Male	1
Male	
Female	1
Male	2
Male	3
Male	1
Male	
Male	1
Male	
Male	3
Male	3
Female	
Male	
Male	1
Male	2
Male	
Male	1
Male	
Male	
Male	3
Male	1
Male	
Male	
Female	
Male	1
Male	2
Male	
Male	1
Male	
Male	1
Male	
Male	
Male	
Female	
Male	
Male	1
Male	
Male	
Male	
Female	1
Male	
Male	
Male	
Male	
Male	
Male	1
Male	3
Male	3
Male	
Male	1
Male	
Male	
Male	
Male	
Male	
Male	
Male	1
Male	
Male	2
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	1
Male	1
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	2
Male	
Male	
Male	1
Male	3
Male	
Non-binary, genderqueer, or gender non-conforming	2
Male	1
Male	
Non-binary, genderqueer, or gender non-conforming	
Male	
Male	
Non-binary, genderqueer, or gender non-conforming	1
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	2
Male	
Non-binary, genderqueer, or gender non-conforming	
Male	
Male	3
Male	
Male	1
Male	
Male	
Male	
Male	
Male	3
Male	
Male	2
Male	
Male	
Male	
Male	
Male	
Male	1
Male	
Male	1
Male	
Male	
Male	
Male	
Male	
Male	
Male	2
Male	1
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Female	
Male	
Female	
Male	3
Male	2
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	3
Male	2
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	1
Male	3
Prefer not to say	
Male	
Male	
Male	2
Male	2
Prefer not to say	
Male	
Male	
Male	
Male	
Male	1
Male	
Male	
Male	
Male	
Male	
Male	3
Male	
Male	3
Male	3
Male	
Male	
Male	3
Male	
Male	
Male	
Male	1
Prefer not to say	
Male	3
Male	
Male	
Male	
Male	
Male	2
Female	
Male	
Male	
Male	
Male	
Male	
Male	2
Male	
Male	
Male	3
Male	
Male	
Female	1
Male	1
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	2
Male	1
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	2
Male	
Male	
Male	
Male	
Male	2
Female	
Female	
Male	2
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	1
Male	1
Male	
Male	
Female	
Male	
Non-binary, genderqueer, or gender non-conforming	1
Male	
Male	2
Male	
Male	
Male	
Male	3
Male	
Female	
Male	2
Male	
Male	
Male	1
Male	1
Non-binary, genderqueer, or gender non-conforming	1
Male	
Male	
Male	
Male	1
Male	2
Male	
Male	
Male	1
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Prefer not to say	
Male	
Male	
Male	
Male	
Male	
Male	2
Male	
Female	
Female	
Female	
Male	1
Male	
Male	1
Male	
Male	
Male	1
Male	2
Male	
Male	
Female	
Male	
Male	
Male	2
Male	
Male	
Male	
Male	
Male	1
Male	1
Male	
Male	
Male	2
Male	
Male	
Male	
Male	
Male	2
Male	
Male	2
Male	1
Male	
Male	1
Male	
Male	
Male	
Male	
Male	2
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	1
Male	
Male	3
Male	
Male	1
Male	
Male	
Male	3
Male	2
Female	
Male	
Male	
Male	
Male	
Male	2
Male	2
Male	
Male	
Male	
Male	1
Male	
Male	
Male	
Male	
Male	1
Male	
Male	1
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	1
Male	
Male	2
Male	
Male	1
Male	
Male	1
Male	1
Male	
Female	
Male	
Male	3
Male	
Male	
Male	
Male	
Male	2
Male	
Male	
Male	2
Female	1
Male	
Female	
Male	
Male	
Male	
Male	3
Male	
Male	
Male	
Male	
Male	1
Male	1
Female	
Male	2
Male	
Male	
Male	2
Male	
Male	
Prefer not to say	
Male	
Male	
Male	1
Male	
Male	
Prefer not to say	
Male	
Male	
Male	1
Male	
Male	
Male	
Male	1
Male	
Male	
Male	
Male	
Female	
Male	2
Male	2
Male	2
Male	1
Male	
Male	
Male	
Male	1
Male	1
Male	
Male	
Male	
Male	
Male	2
Male	1
Male	
Male	
Male	
Male	2
Male	
Male	2
Male	
Male	3
Male	
Male	
Male	
Male	1
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	1
Male	
Male	1
Male	
Male	
Male	
Male	
Male	
Male	2
Male	3
Male	1
Male	2
Male	2
Male	2
Male	1
Male	
Male	
Male	2
Male	
Male	
Male	
Male	2
Male	1
Male	
Male	
Male	
Male	
Male	3
Male	
Male	1
Male	
Male	
Female	
Male	
Female	1
Male	1
Male	
Male	
Male	1
Male	3
Male	
Male	
Male	2
Male	
Male	
Male	
Male	
Female	3
Male	
Male	
Male	
Male	1
Male	
Male	
Prefer not to say	2
Male	
Male	
Female	
Male	1
Male	2
Male	
Male	
Male	
Male	
Female	1
Prefer not to say	
Female	1
	
Male	1
Male	1
Female	3
Male	1
Male	2
Male	
Male	1
Male	
Male	
Female	
Male	1
Male	2
Male	
Male	
Male	1
Male	2
Male	
Male	
Male	
Male	
Male	
Male	
Male	3
Male	
Male	
Male	2
Male	
Male	
Male	1
Male	3
Female	1
Male	
Male	
Female	
Male	3
Male	
Female	
Male	
Male	
Male	
Male	
Male	
Male	
Male	2
Male	1
Male	
Male	
Male	1
Male	3
Male	
Male	1
Male	1
Male	
Male	
Male	
Male	
Male	1
Non-binary, genderqueer, or gender non-conforming	
Male	
Male	
Male	
Male	
Male	
Male	
Male	3
Male	2
Male	2
Male	
Male	
Male	
Female	
Male	1
Male	
Male	
Male	
Male	
Male	
Male	1
Male	1
Male	1
Prefer not to say	
Male	
Male	
Male	1
Male	
Female	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Female	
Male	
Male	
Male	
Male	3
Male	
Male	
Female	
Male	
Male	2
Male	
Male	
Male	
Male	
Male	1
Male	
Male	
Male	
Female	
Male	
Male	
Male	
Male	
Male	1
Male	2
Male	
Male	1
Male	
Male	2
Male	1
Male	
Male	1
Male	
Male	2
Male	
Male	
Male	2
Male	3
Male	
Male	
Male	
Male	1
Male	
Male	
Male	
Male	1
Female	
Male	
Male	
Male	
Male	
Female	
Male	
Male	1
Male	1
Male	
Male	
Male	3
Male	
Male	
Male	3
Male	
Male	
Male	3
Male	3
Female	
Male	
Male	1
Male	3
Male	
Male	
Male	
Male	
Male	
Male	1
Male	
Male	
Male	
Male	
Female	
Female	
Male	
Male	2
Male	
Male	
Male	
Male	
Male	
Male	1
Female	1
Male	
Male	
Female	
Male	
Male	
Male	
Male	
Male	
Male	
Male	2
Male	
Male	
Male	
Male	
Non-binary, genderqueer, or gender non-conforming	
Female	
Male	
Male	
Male	
Male	
Male	
Male	
Male	1
Male	1
Non-binary, genderqueer, or gender non-conforming	2
Male	
Male	3
Male	
Male	
Male	
Male	3
Male	3
Male	
Male	2
Male	1
Male	3
Male	
Male	
Male	
Male	
Male	
Female	
Male	
Male	
Male	
Male	
Male	
Male	2
Male	1
Male	
Male	
Male	
Female	1
Male	2
Female	1
Male	
Male	1
Male	1
Male	
Male	
Male	1
Male	
Female	
Male	
Male	
Male	
Male	
Male	1
Female	
Male	1
Male	
Male	
Male	
Female	
Male	2
Male	3
Male	1
Male	
Male	
Male	
Male	
Male	2
Male	3
Male	2
Male	
Male	1
Male	
Male	1
Male	
Male	
Female	
Male	
Male	1
Male	
Male	
Male	
Male	
Male	
Male	
Male	1
Male	
Male	
Male	
Male	
Male	
Male	1
Male	
Male	
Male	
Male	2
Male	
Male	3
Male	
Male	
Male	
Female	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	1
Male	2
Male	
Male	
Male	1
Male	1
Male	
Male	
Male	
Male	
Male	
Male	3
Male	
Male	
Male	
Male	3
Male	
Male	
Male	
Male	3
Male	
Male	2
Male	
Male	1
Male	
Male	1
Male	3
Male	
Male	
Male	3
Male	
Male	3
Male	
Male	
Male	
Prefer not to say	2
Male	
Female	
Male	
Female	1
Male	1
Male	
Non-binary, genderqueer, or gender non-conforming	
Male	2
Male	
Female	
Male	
Male	
Male	2
Female	1
Male	
Male	
Male	1
Male	
Male	
Male	
Male	
Male	1
Male	1
Male	
Male	
Male	
Male	
Male	2
Male	
Male	
Male	
Male	
Female	2
Male	1
Male	
Male	
Male	
Male	
Male	
Male	1
Male	
Male	1
Male	
Male	2
Male	
Male	1
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	2
Male	
Male	
Female	
Male	
Male	
Male	
Male	
Male	1
Prefer not to say	
Male	
Male	
Male	3
Male	2
Male	
Male	
Male	
Male	
Male	
Male	
Male	1
Male	
Male	
Male	
Male	
Male	1
Male	3
Female	1
Male	
Male	
Male	1
Male	
Male	2
Male	
Male	
Male	
Male	
Male	
Male	
Non-binary, genderqueer, or gender non-conforming	1
Male	
Male	
Male	2
Female	
Male	
Male	1
Male	1
Male	
Male	
Male	
Prefer not to say	2
Male	2
Male	
Male	
Male	3
Male	2
Male	
Male	
Male	
Male	1
Prefer not to say	1
Male	1
Male	
Male	
Male	
Male	1
Male	
Female	
Male	
Male	
Male	
Male	1
Male	
Male	
Male	
Male	
Male	1
Male	
Male	
Male	
Male	1
Male	
Male	
Male	1
Male	
Male	
Male	
Male	
Male	3
Male	
Male	
Male	3
Male	
Male	
Male	2
Male	
Male	
Male	
Male	1
Male	
Male	
Male	
Male	
Male	1
Male	
Male	
Male	
Male	1
Male	2
Male	
Male	
Male	
Male	
Male	
Male	3
Male	1
Male	1
Female	1
Male	1
Male	
Prefer not to say	
Male	
Male	
Male	
Male	
Female	1
Male	
Male	
Male	
Male	
Male	1
Non-binary, genderqueer, or gender non-conforming	
Male	1
Male	
Male	
Male	
Male	
Male	1
Male	2
Male	
Male	
Male	
Male	
Male	
Male	
Male	
Male	3
Male	
Male	2
Male	
Male	
Male	
Male	
Male	1
Male	
Male	
Male	1
Male	2
Male	
Male	
Male	
Male	
Male	1
Male	2
Male	
Female	1
Male	
Male	
Male	
Male	1
Male	
