freq,unit,sex,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC,F,AT	13.4 e	14.3 e	17.1 	15.7 e	18.4 	20.4 	20.3 	19.0 b	19.3 	19.5 
A,PC,F,BA	: 	: 	: 	: 	: 	: 	: 	17.8 bu	24.2 e	19.4 e
A,PC,F,BE	15.2 	15.1 	14.1 	15.6 b	16.8 	17.2 e	17.4 	19.6 b	18.7 	19.4 
A,PC,F,BG	31.7 e	31.0 e	29.1 e	29.2 e	30.1 e	28.1 	28.2 	28.2 b	28.9 b	29.1 
A,PC,F,CH	13.8 e	14.2 	15.0 	15.2 	14.5 	16.6 e	16.3 e	16.3 b	15.9 	16.6 
A,PC,F,CY	15.7 e	20.8 e	23.7 e	18.2 e	18.9 e	19.2 e	18.2 e	19.3 be	21.6 e	24.0 e
A,PC,F,CZ	9.9 e	9.8 e	10.0 e	10.1 	9.7 	10.2 e	10.3 	10.0 b	10.9 	12.4 
A,PC,F,DE	16.5 	16.3 	16.6 	16.6 	16.8 	16.8 	17.6 b	19.4 b	19.0 	19.0 
A,PC,F,DK	18.2 e	20.4 e	21.1 be	20.3 be	20.5 e	21.7 e	23.0 e	22.8 be	22.0 e	22.6 be
A,PC,F,EE	19.4 e	22.4 e	20.5 e	20.3 e	22.5 	23.8 e	22.7 e	22.6 be	24.5 e	26.8 e
A,PC,F,EL	20.3 e	16.5 e	16.6 e	15.1 e	15.0 e	19.6 e	26.2 e	21.0 b	20.3 	19.8 
A,PC,F,ES	18.3 e	18.0 e	17.2 e	16.5 e	17.3 e	19.0 e	19.1 e	19.4 bd	18.1 d	19.5 d
A,PC,F,EU27_2020	16.3 e	16.5 e	17.0 e	17.2 e	17.2 e	17.8 e	18.5 e	19.1 be	18.9 e	19.4 e
A,PC,F,FI	20.8 	22.3 	21.0 	20.4 	19.9 	21.1 	23.3 	23.9 b	23.8 	22.2 
A,PC,F,FR	16.9 b	15.8 	17.6 	18.5 	19.2 	19.7 	20.1 	20.9 bd	19.0 de	20.1 d
A,PC,F,HR	14.5 u	17.1 u	13.7 u	14.3 u	18.0 e	20.9 e	18.5 e	20.8 be	14.4 u	17.4 be
A,PC,F,HU	11.7 	12.1 e	13.2 e	9.1 e	8.6 e	10.6 	12.3 e	14.0 be	13.6 e	15.7 e
A,PC,F,IE	21.1 e	20.2 e	21.5 e	21.1 be	18.6 e	21.4 e	20.7 e	20.3 be	22.0 e	24.3 e
A,PC,F,IS	20.5 e	23.0 e	21.9 e	17.0 e	16.9 e	19.2 e	20.9 be	24.2 be	20.0 e	18.8 e
A,PC,F,IT	14.2 e	14.7 e	15.4 e	16.1 e	15.1 be	15.1 e	15.6 e	16.1 be	16.0 e	15.7 e
A,PC,F,LT	16.9 u	20.4 e	25.0 e	25.9 e	25.8 e	24.3 e	23.6 e	23.7 be	22.9 e	20.0 e
A,PC,F,LU	11.8 e	13.8 be	12.5 e	11.6 e	13.6 e	15.5 e	20.0 e	19.7 be	20.7 e	22.5 e
A,PC,F,LV	26.6 e	28.1 e	27.2 e	26.4 e	20.6 e	24.7 e	23.8 e	22.7 be	22.9 e	24.0 e
A,PC,F,ME	: u	: u	: u	29.4 u	27.6 u	: u	: u	: 	: 	: 
A,PC,F,MK	28.8 e	21.7 e	27.3 e	27.0 e	24.1 e	24.4 e	23.3 e	: 	: 	: 
A,PC,F,MT	15.2 e	17.0 e	12.3 e	10.8 e	18.0 e	11.2 e	10.5 e	22.0 be	17.8 e	13.8 u
A,PC,F,NL	13.2 	13.9 	15.0 	16.3 	15.9 	17.3 	17.6 	17.5 b	19.4 e	18.9 
A,PC,F,NO	16.6 e	18.8 e	17.2 e	18.7 e	22.1 e	20.6 e	19.4 e	19.1 be	19.8 	21.7 e
A,PC,F,PL	14.1 e	13.6 e	14.6 e	14.8 	14.0 	14.4 be	15.2 e	15.6 be	16.7 	19.1 
A,PC,F,PT	15.3 e	17.7 e	18.1 e	17.7 e	17.8 e	17.9 e	21.3 e	21.0 b	20.3 	20.0 
A,PC,F,RO	21.5 	27.3 e	26.3 	25.7 	23.7 e	23.5 e	26.1 e	26.0 be	25.2 e	26.0 e
A,PC,F,RS	14.9 be	17.2 e	20.9 e	22.2 e	19.3 e	21.6 e	25.0 e	23.4 b	23.3 e	22.3 be
A,PC,F,SE	19.1 	18.9 	20.8 	20.9 	20.9 b	20.5 e	21.3 e	21.8 b	23.0 	22.8 e
A,PC,F,SI	13.5 e	16.1 e	17.3 	16.4 e	16.6 e	19.5 e	17.2 e	16.6 be	17.6 e	17.1 
A,PC,F,SK	12.1 e	11.9 e	9.6 e	14.4 e	13.1 e	14.0 e	15.8 e	14.9 be	14.9 e	17.4 e
A,PC,F,TR	14.8 be	14.2 e	13.4 e	13.2 e	14.2 e	13.3 e	16.5 e	17.1 b	19.6 	20.5 
A,PC,F,UK	16.5 e	17.2 e	16.5 e	17.6 e	17.0 e	17.1 e	: 	: 	: 	: 
